Species	xvar	yvar	experiment
Gallus_gallus	7.10982754525173	1.439451587	ScaffoldN50.Alpha
Halcyon_senegalensis	6.31182122443856	1.78094597	ScaffoldN50.Alpha
Haliaeetus_leucocephalus	6.96120740659037	1.838523606	ScaffoldN50.Alpha
Lophotis_ruficrista	5.84658141138304	1.586773388	ScaffoldN50.Alpha
Penelope_pileata	5.86485624357134	1.927779662	ScaffoldN50.Alpha
Psophia_crepitans	5.67107097065497	1.939984925	ScaffoldN50.Alpha
Pterocles_burchelli	5.77413724829744	2.148765687	ScaffoldN50.Alpha
Trogon_melanurus	5.77882605377923	1.857427214	ScaffoldN50.Alpha
Anseranas_semipalmata	1.15836249209525	1.077921375	Generation_time_y.Xz_a
Bucorvus_abyssinicus	1.47421626407626	1.047791911	Generation_time_y.Xz_a
Cairina_moschata	0.406540180433955	1.045748867	Generation_time_y.Xz_a
Calidris_pugnax	0.618048096712093	1.071699845	Generation_time_y.Xz_a
Columba_livia	0.763427993562937	1.095380499	Generation_time_y.Xz_a
Cuculus_canorus	0.845098040014257	1.103926655	Generation_time_y.Xz_a
Egretta_garzetta	0.7481880270062	1.062378352	Generation_time_y.Xz_a
Falco_cherrug	0.819543935541869	1.111740592	Generation_time_y.Xz_a
Ficedula_albicollis	0.255272505103306	1.152984183	Generation_time_y.Xz_a
Gallus_gallus	0.301029995663981	1.060047866	Generation_time_y.Xz_a
Halcyon_senegalensis	0.301029995663981	1.093606753	Generation_time_y.Xz_a
Haliaeetus_leucocephalus	1.04139268515823	1.098469454	Generation_time_y.Xz_a
Lophotis_ruficrista	1.01283722470517	1.075612008	Generation_time_y.Xz_a
Penelope_pileata	0.755874855672492	1.105629495	Generation_time_y.Xz_a
Psophia_crepitans	0.902546779313991	1.106574801	Generation_time_y.Xz_a
Pterocles_burchelli	0.7481880270062	1.121610159	Generation_time_y.Xz_a
Trogon_melanurus	0.863322860120456	1.10002322	Generation_time_y.Xz_a
