alpha	alpha_lwr	alpha_upr	xz_a	xz_a_lwr	xz_a_upr	species	mut_type
2.14684924162486	1.84551675811737	2.52946828803936	1.12148121857412	1.09904665596098	1.14444746944107	Pterocles_burchelli	mod
1.8001937746694	1.49731317497069	2.24645949831134	1.09525457153572	1.0663797636536	1.12798142088427	Columba_livia	mod
1.5460231147543	1.23443876016303	1.98664902794895	1.07148705911716	1.03497354896492	1.11011772934772	Calidris_pugnax	mod
2.06475908856055	1.80132868558297	2.35853971361782	1.11580671952703	1.09535102511736	1.13483436547431	Pterocles_burchelli	exptotsub
1.74321089669359	1.42867521487222	2.10599110714578	1.09030912127942	1.05883526023394	1.1186943843895	Columba_livia	exptotsub
1.53183573415876	1.18672303338556	1.98657541794601	1.07001977879573	1.02846314333286	1.1101122277618	Calidris_pugnax	exptotsub
8.14304793151105	4.29480210902471	25.09853588287	1.26041818822412	1.20742368592076	1.30778911623017	Pterocles_burchelli	C>A
6.15025211607048	3.44615347386475	20.3845084098999	1.24009652771521	1.18339099090511	1.30215811742994	Columba_livia	C>A
5.69311765560927	3.2504166232835	18.9269492998363	1.23372853016542	1.17648596382732	1.29987780250242	Calidris_pugnax	C>A
2.72135825707267	2.25722104285774	3.27806640196436	1.15418727412239	1.12865988382075	1.17749969167678	Pterocles_burchelli	C>G
1.97360660285352	1.5603896540739	2.58273808549146	1.10913869170625	1.07295629829653	1.14725591132853	Columba_livia	C>G
1.71003477163554	1.31091964843724	2.41663152245645	1.08733402969181	1.04484789546123	1.13820937504726	Calidris_pugnax	C>G
2.75222231440507	2.16166183522709	3.48855165666998	1.15566084732223	1.12247375966271	1.18480732368476	Pterocles_burchelli	C>T
1.85228487303632	1.43688148169901	2.38651716152899	1.09960258891544	1.05975964020409	1.1364742492454	Columba_livia	C>T
1.90450584909203	1.44556321241191	2.6445875733276	1.1038049036092	1.0607308247238	1.15041368789922	Calidris_pugnax	C>T
2.98635838075232	2.22437780327052	4.4328751180835	1.16609632075424	1.12657509737523	1.2106235982158	Pterocles_burchelli	T>A
2.44725388133739	1.8983909035539	3.16716621651804	1.13994268395998	1.10332065083104	1.17335251374805	Columba_livia	T>A
2.20747838504146	1.69588531880048	3.15351955827994	1.1254857388567	1.08604289333669	1.17282688637615	Calidris_pugnax	T>A
1.40674234756566	1.18787724820592	1.69997766872842	1.0563337337123	1.02862397762641	1.08641771088649	Pterocles_burchelli	T>C
1.40860701696701	1.10915874064334	1.7710707145145	1.05654817827464	1.01725154497855	1.09275244047674	Columba_livia	T>C
1.23298180019939	0.854375323216835	1.8691906981865	1.03477887731084	0.973823228598882	1.10097977555551	Calidris_pugnax	T>C
0.675180117804624	0.484181637865088	0.914381740265014	0.935366177693763	0.88415201370346	0.985092095629939	Pterocles_burchelli	T>G
0.681442207373777	0.484188053703186	0.949165370144914	0.93684830176753	0.884153955421436	0.991306598774068	Columba_livia	T>G
0.584167602219814	0.357257034045958	0.910762435118913	0.912502440356795	0.84214658687062	0.984432468205546	Calidris_pugnax	T>G
3.31434293521363	2.4846458141625	4.40395950223189	1.17880999648282	1.14201785904405	1.20996700048215	Pterocles_burchelli	S>W
2.2941572902715	1.72057881416808	3.1708883366694	1.13095481648609	1.08828743971877	1.17349528137555	Columba_livia	S>W
2.29345962810259	1.67435611395607	3.42113108917748	1.13091194611544	1.08405214628884	1.18254235853084	Calidris_pugnax	S>W
1.18361967786664	0.986942779998424	1.44486586566472	1.02802986248442	0.997809495718243	1.06065307057159	Pterocles_burchelli	W>S
1.19263734685869	0.934979532016461	1.52620157155556	1.02928548537445	0.988799111841116	1.06943251315605	Columba_livia	W>S
1.03439923609509	0.710603109367322	1.57747495471381	1.0056362644206	0.943607240228523	1.07468225878169	Calidris_pugnax	W>S
2.72135825707267	2.27138242738761	3.33465023389415	1.15418727412239	1.12954588828093	1.17953391914905	Pterocles_burchelli	S>S
1.97360660285352	1.55344046207215	2.60886672482204	1.10913869170625	1.0722476818098	1.14860313476953	Columba_livia	S>S
1.71003477163554	1.37240478233158	2.41248552921062	1.08733402969181	1.05232451408307	1.13797230953996	Calidris_pugnax	S>S
2.98635838075232	2.23590321774799	4.37899343653949	1.16609632075424	1.12731151444512	1.20939440785743	Pterocles_burchelli	W>W
2.44725388133739	1.90618357388231	3.34773979607362	1.13994268395998	1.10393740918802	1.1799969567478	Columba_livia	W>W
2.20747838504146	1.69169966496629	3.09048327144906	1.1254857388567	1.08565835111164	1.17035340591989	Calidris_pugnax	W>W
1.93722116026494	1.71412291093957	2.25833448153042	1.10636143360532	1.08770456538786	1.12872982487046	Pterocles_burchelli	gc-BGC-affected
1.65988574497048	1.39846646396385	2.04208843843467	1.0826960012873	1.05537794947323	1.11418563918881	Columba_livia	gc-BGC-affected
1.457975519677	1.17058221642443	1.88155198133319	1.06210741536558	1.02619607696861	1.10197652596517	Calidris_pugnax	gc-BGC-affected
2.90775435450126	2.39869022067143	3.63992083581438	1.16273236761533	1.13717933771117	1.18965272104339	Pterocles_burchelli	gc-BGC-unaffected
2.23258199838274	1.74595969504074	2.90252634005764	1.12709984350997	1.09055239671919	1.16250382224877	Columba_livia	gc-BGC-unaffected
1.95961315150079	1.52242761375369	2.59711009337089	1.10807866911189	1.06903767504303	1.14799937096858	Calidris_pugnax	gc-BGC-unaffected
1.59157233770148	1.3473848432068	1.89068265096433	1.0760892437248	1.04932934114775	1.10270730233534	Lophotis_ruficrista	mod
1.90768408103641	1.48756275073732	2.51748449887997	1.10405578870096	1.06533339384676	1.14380395036691	Cuculus_canorus	mod
