alpha	alpha_lwr	alpha_upr	xz_a	xz_a_lwr	xz_a_upr	species	mut_type
1.52611290172236	1.34057841684587	1.78315216631431	1.06942324989561	1.04850345458693	1.0937967838282	Pterocles_burchelli	mod
1.40776988735139	1.23060285265435	1.6202043723156	1.05645194605092	1.03446046769822	1.07890025410085	Columba_livia	mod
1.24433587050244	1.04002516620459	1.5158285930276	1.03628926099606	1.00653997915772	1.06834442728692	Calidris_pugnax	mod
1.49508965259082	1.31144074751433	1.7552693957114	1.06614186549392	1.0449129326012	1.09137272225685	Pterocles_burchelli	exptotsub
1.38386323499718	1.22589211408516	1.5863081898543	1.05367523177808	1.03382795189634	1.07556565147628	Columba_livia	exptotsub
1.24633259894619	1.04157781571645	1.51193791256411	1.0365532986317	1.00678851023889	1.06793399231771	Calidris_pugnax	exptotsub
4.47708127205169	2.99051622170429	7.75164244915691	1.21161400262548	1.16627057011471	1.25715715605693	Pterocles_burchelli	C>A
3.97428388064087	2.81312038939333	6.15280561838156	1.19931069154941	1.15849839538564	1.24012981261226	Columba_livia	C>A
3.71264695423978	2.70369721929949	5.34648937196226	1.19187001703995	1.15333301819074	1.22828838208645	Calidris_pugnax	C>A
1.91193601941888	1.66047310141202	2.16812076634266	1.10439057421333	1.08275133484861	1.12290364462034	Pterocles_burchelli	C>G
1.53737541573236	1.29267123215186	1.83840313363726	1.07059465361997	1.04255170825011	1.09845948515928	Columba_livia	C>G
1.38075947093505	1.11209077082075	1.77265948744609	1.05331064527706	1.01769033357362	1.09289029671626	Calidris_pugnax	C>G
1.80920212100752	1.48769775183595	2.25245221962085	1.09601802530289	1.06534793752926	1.12835978671367	Pterocles_burchelli	C>T
1.41000333594064	1.21831229789054	1.67427721057678	1.05670854334877	1.0328045631955	1.08404479135646	Columba_livia	C>T
1.43347453605832	1.21818284887711	1.6934772491954	1.05937662789498	1.03278702489706	1.08582180641555	Calidris_pugnax	C>T
2.12955200329613	1.71207724828329	2.86567203401321	1.12031029809873	1.08751929278981	1.16087517837326	Pterocles_burchelli	T>A
1.98356614249475	1.70342308181254	2.35055797302454	1.109887083166	1.08673239574731	1.13436149878099	Columba_livia	T>A
1.81949993936747	1.5801404633661	2.17070121659098	1.09688478536272	1.07494946775226	1.12307490116752	Calidris_pugnax	T>A
1.06322134142947	0.889802822744113	1.29549531412232	1.01021401827004	0.980562843923954	1.04290944853374	Pterocles_burchelli	T>C
1.14596726137433	0.898844111629618	1.44553357492757	1.02267311094032	0.982242549954321	1.06072752104698	Columba_livia	T>C
1.04112367672602	0.762119311232366	1.48330822009408	1.00671585577999	0.955001024949276	1.06487424264446	Calidris_pugnax	T>C
0.53613860465922	0.386415971757766	0.75182074274238	0.899344717563495	0.852477168771529	0.952776892596688	Pterocles_burchelli	T>G
0.572112307194757	0.420987269176123	0.755504705917463	0.909275418631137	0.864175951611543	0.953575498210782	Columba_livia	T>G
0.494452569286629	0.300338532746109	0.754710738535116	0.887239104337563	0.820646329235429	0.953403666279937	Calidris_pugnax	T>G
2.14384984723785	1.71683456796505	2.66471015391464	1.12127910076482	1.08794972605466	1.15141808255844	Pterocles_burchelli	S>W
1.72072767051346	1.4324090324482	2.0621126380833	1.08830084666007	1.05925662264308	1.11561872075659	Columba_livia	S>W
1.70492798688925	1.46428206115504	2.0513827955401	1.08686959385561	1.06280153132273	1.11485315194112	Calidris_pugnax	S>W
0.909728434620105	0.753598222070244	1.14238231851582	0.984243559844526	0.953162631586373	1.02215326948343	Pterocles_burchelli	W>S
0.981246717159416	0.78241737840726	1.23944731554369	0.99684486832152	0.959309451641611	1.03564083481398	Columba_livia	W>S
0.877820087129786	0.634754702474921	1.39420676146496	0.978311746741588	0.925524953484434	1.05488341940078	Calidris_pugnax	W>S
1.91193601941888	1.67601250437106	2.1716903409598	1.10439057421333	1.08420644563093	1.12314047242973	Pterocles_burchelli	S>S
1.53737541573236	1.31847811101174	1.8245406329174	1.07059465361997	1.04578838585236	1.09730675297641	Columba_livia	S>S
1.38075947093505	1.10311499271638	1.78726220316437	1.05331064527706	1.01634321677979	1.09414999926817	Calidris_pugnax	S>S
2.12955200329613	1.67757912433438	2.77417379851567	1.12031029809873	1.08435220683445	1.15669423236537	Pterocles_burchelli	W>W
1.98356614249475	1.70685625609526	2.41481977828288	1.109887083166	1.08704516595633	1.13810585137178	Columba_livia	W>W
1.81949993936747	1.58327234949981	2.15114717788322	1.09688478536272	1.07526272502301	1.12177016949708	Calidris_pugnax	W>W
1.40705733613256	1.23511064583698	1.64974510356035	1.05636998200004	1.03506323743971	1.08173680588966	Pterocles_burchelli	gc-BGC-affected
1.31657519749104	1.16749917071812	1.48526559164172	1.04555218666963	1.02575920565983	1.06508567847151	Columba_livia	gc-BGC-affected
1.18485275222142	0.993091232542989	1.42103438666156	1.02820216786287	0.998844547380437	1.05796893936206	Calidris_pugnax	gc-BGC-affected
2.05521873179738	1.80580997057907	2.39856476157494	1.11512746161348	1.09573111733968	1.13717209662419	Pterocles_burchelli	gc-BGC-unaffected
1.77665901629169	1.57670119817515	2.03385527064087	1.09323663339463	1.07460458855734	1.11359092402393	Columba_livia	gc-BGC-unaffected
1.60098655297694	1.36769360549838	1.89869915959074	1.07702033321281	1.0517653698441	1.10334511104372	Calidris_pugnax	gc-BGC-unaffected
1.25874840917004	1.08812109949692	1.52004167445647	1.03818462887376	1.01406704804591	1.06878744370615	Lophotis_ruficrista	mod
1.5081549934342	1.35621102401211	1.70281390929007	1.06753370435831	1.0503931977204	1.08667681570361	Cuculus_canorus	mod
