alpha	alpha_lwr	alpha_upr	xz_a	xz_a_lwr	xz_a_upr	xz_a_RofM	alpha_RofM	species	mut_type	gc_width
2.24378960347381	0.527705547579429	1198.40804877224	0.87218759994567	0.667222496408971	1.10305093438302	0.864581371969837	2.3684544341738	Oryctolagus_cuniculus	mod	0.02
1.98129118765126	0.428040041396935	Inf	0.890283423536325	0.640497591972236	1.1335069844035	0.88213095183421	2.09409360418258	Rattus_norvegicus	mod	0.02
2.62690844393655	0.504414582659612	Inf	0.85047794201915	0.632600699490415	1.10980692491123	0.842948590956783	2.78182090620645	Mus_pahari	mod	0.02
2.29577992404936	0.333995420947535	Inf	0.868945545120288	0.658415998095946	1.1664185070389	0.862894974625598	2.39740312496703	Mus_musculus	mod	0.02
4.09491090286777	0.851229091049932	Inf	0.797516190706708	0.587323975898607	1.0267877720932	0.788762196989076	4.46020534008286	Nomascus_leucogenys	mod	0.02
2.56425305299238	0.172531225193918	Inf	0.853709128791224	0.644381629845611	1.23523716811017	0.842619106495133	2.78890265640301	Pongo_abelii	mod	0.02
3.29908693553163	0.409843577770897	Inf	0.821738354367773	0.59807751562953	1.13953236409441	0.815469858656567	3.48019063134018	Homo_sapiens	mod	0.02
2.36623350937242	0.384449999352408	Inf	0.864711949268276	0.647724777623674	1.14820566553156	0.847821001850636	2.68010329970652	Macaca_mulatta	mod	0.02
1.88328184463435	0.237145319748494	Inf	0.89788466844034	0.650688392716059	1.20554165251085	0.876521923228072	2.17679279323459	Callithrix_jacchus	mod	0.02
2.90709429515996	0.703864001568906	Inf	0.837296453486125	0.593577619485091	1.05793420096096	0.831372935273822	3.04760955550969	Saimiri_boliviensis	mod	0.02
2.7973236795213	0.734836753863388	Inf	0.842228910744503	0.645375918031111	1.05094874115122	0.831163834292362	3.05275468440668	Daubentonia_madagascariensis	mod	0.02
1.97874633933687	0.145201404698558	Inf	0.890474467237923	0.58459986117031	1.24880589905972	0.870872035600648	2.26468726139222	Microcebus_murinus	mod	0.02
3.59535780518371	0.754969536976068	Inf	0.811740607571692	0.584768901588063	1.04654030698944	0.801642836123838	3.93914347508731	Equus_caballus	mod	0.02
2.02115651068028	0.116580943952723	Inf	0.887332714357309	0.65500433980196	1.26372742636999	0.872177263669984	2.24395275176932	Dicerorhinus_sumatrensis	mod	0.02
3.03412407234323	0.378041471071641	Inf	0.831923524093819	0.574839860044123	1.15044504392278	0.813655987432343	3.53547688494621	Ceratotherium_simum_cottoni	mod	0.02
0.913695573695979	18.3278137794756	Inf	1.01503276827138	0.701159272725124	1.49798973880773	0.995258919603146	1.02885692133326	Felis_catus	mod	0.02
1.49141715315983	0.152895403922649	Inf	0.934251990875076	0.654468673742101	1.24492091627021	0.916012336861201	1.67366450015573	Canis_lupus_familiaris	mod	0.02
3.55728766706902	0.602544226605725	Inf	0.81295250933664	0.629347211165634	1.08267182621144	0.803184674526607	3.88336064316606	Bos_taurus	mod	0.02
3.08964139004197	0.464805275162399	Inf	0.82968014464299	0.59988517849191	1.1217897318077	0.817996231102589	3.40539605827621	Ovis_aries	mod	0.02
2.19365335790771	0.399951257516354	Inf	0.875414013969076	0.632586096146292	1.14287372251045	0.862788834528297	2.39924177840528	Sus_scrofa	mod	0.02
2.37685561759786	0.394842890837205	Inf	0.864088985581475	0.655606838655111	1.14461774706865	0.858730313343427	2.47107158591368	Oryctolagus_cuniculus	mod	0.03
2.20421123357416	0.479280682065632	Inf	0.874726191482398	0.619640701246026	1.11733615403924	0.863300907082269	2.39038951332999	Rattus_norvegicus	mod	0.03
2.72427034340742	0.5399104972773	Inf	0.845672647756836	0.646083791767042	1.09959226061865	0.843487905139711	2.77028615127757	Mus_pahari	mod	0.03
2.48368274249511	0.315367104618469	Inf	0.858035030534721	0.646101791090767	1.17349602580595	0.851977929931602	2.5975507096595	Mus_musculus	mod	0.03
4.1869198806969	0.855035956932876	Inf	0.795195096255037	0.592608498663878	1.0260487391139	0.787735457526506	4.50651131420371	Nomascus_leucogenys	mod	0.03
2.78422145395892	0.280120289709754	Inf	0.842836765266267	0.642982773859396	1.18745105859113	0.831900575884673	3.03468434428359	Pongo_abelii	mod	0.03
3.47412337540738	0.465532333361856	Inf	0.815671647247017	0.587257474350891	1.12156394289214	0.801543573158141	3.94277844894677	Homo_sapiens	mod	0.03
2.45101528995336	0.462343635522868	Inf	0.859846531330691	0.663704170242659	1.12255586430269	0.852720515992793	2.58319201178199	Macaca_mulatta	mod	0.03
1.80153592648165	0.212972517680096	Inf	0.904631370372576	0.623062505821932	1.21628065787375	0.877747346942919	2.15835000055033	Callithrix_jacchus	mod	0.03
2.59999035079989	0.520006722851865	Inf	0.851852348211213	0.594900906701957	1.10526121802224	0.843119452748215	2.77815891418435	Saimiri_boliviensis	mod	0.03
2.94857057929612	0.736030056184407	Inf	0.835504136651946	0.643618675747655	1.05068459555663	0.831557138806848	3.04308786319625	Daubentonia_madagascariensis	mod	0.03
2.0419951383617	0.063087600166108	Inf	0.885821082220962	0.574355542089301	1.29377083622193	0.860865775262759	2.4329028154977	Microcebus_murinus	mod	0.03
3.70489401687262	0.871464445982442	Inf	0.808363092617151	0.592554586552643	1.02289393462136	0.800002007743355	3.99992471075788	Equus_caballus	mod	0.03
1.84862543964603	0.0682097370310931	Inf	0.900697668913669	0.660018480252968	1.29076382994431	0.887399512029453	2.02024225516128	Dicerorhinus_sumatrensis	mod	0.03
