Species	Common_names
Eidolon_helvum	Straw-colored fruit bat
Elaphurus_davidianus	Pere david's deer
Elephantulus_edwardii	Cape elephant shrew
Ellobius_lutescens	Transcaucasian mole vole
Ellobius_talpinus	Northern mole vole
Enhydra_lutris	Sea otter
Eptesicus_fuscus	Big brown bat
Equus_asinus	Ass
Equus_caballus	Horse
Equus_przewalskii	Przewalski's horse
Erinaceus_europaeus	Western European hedgehog
Eulemur_flavifrons	Sclater's lemur
Felis_catus	Cat
Fukomys_damarensis	Damara mole-rat
Giraffa_tippelskirchi	Giraffe
Gorilla_gorilla	Western lowland gorilla
Heterocephalus_glaber	Naked mole-rat
Hipposideros_armiger	Great roundleaf bat
Homo_sapiens	Human
Ictidomys_tridecemlineatus	Thirteen-lined ground squirrel
Jaculus_jaculus	Lesser Egyptian jerboa
Leptonychotes_weddellii	Weddell seal
Lipotes_vexillifer	Yangtze river dolphin
Loxodonta_africana	African savanna elephant
Lycaon_pictus	African hunting dog
Macaca_fascicularis	Crab-eating macaque
Macaca_mulatta	Rhesus monkey
Macaca_nemestrina	Pig-tailed macaque
Mandrillus_leucophaeus	Drill
Manis_javanica	Malayan pangolin
Manis_pentadactyla	Chinese pangolin
Marmota_marmota	Alpine marmot
Mesocricetus_auratus	Golden hamster
Microcebus_murinus	Gray mouse lemur
Microtus_ochrogaster	Prairie vole
Miniopterus_natalensis	Bats
Mus_caroli	Ryukyu mouse
Mus_musculus	House mouse
Mus_pahari	Shrew mouse
Mus_spretus	Western wild mouse
Mustela_putorius	Domestic ferret
Myotis_brandtii	Brandt's bat
Myotis_davidii	Bats
Myotis_lucifugus	Little brown bat
Nannospalax_galili	Upper Galilee Mountains blind mole rat
Neomonachus_schauinslandi	Hawaiian monk seal
Neophocaena_asiaeorientalis	Yangtze finless porpoise
Nomascus_leucogenys	Northern white-cheeked gibbon
Ochotona_princeps	American pika
Octodon_degus	Degu
Odobenus_rosmarus	Pacific walrus
Odocoileus_virginianus	White-tailed deer
Okapia_johnstoni	Okapi
Orcinus_orca	Killer whale
Oryctolagus_cuniculus	Rabbit
Otolemur_garnettii	Small-eared galago
Ovis_aries	Sheep
Pan_paniscus	Pygmy chimpanzee
Pan_troglodytes	Chimpanzee
Panthera_pardus	Leopard
Panthera_tigris	Amur tiger
Pantholops_hodgsonii	Chiru
Papio_anubis	Olive baboon
Peromyscus_maniculatus	Prairie deer mouse
